,price,Address,area,Bedrooms
0,7000000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1595.0,3.0
1,8000000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1550.0,3.0
2,4700000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1073.0,2.0
3,7000000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1550.0,3.0
4,6000000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1300.0,2.0
5,7200000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1635.0,3.0
6,8500000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1897.0,3.0
7,7000000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1485.0,3.0
8,5100000.0,"Ahinsa Khand 2, Ghaziabad, Delhi NCR",1080.0,2.0
9,3400000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0
10,2900000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0
11,5600000.0,"Bhopura, Ghaziabad, Delhi NCR",1655.0,3.0
12,3000000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0
13,4000000.0,"Bhopura, Ghaziabad, Delhi NCR",1275.0,3.0
15,3600000.0,"Bhopura, Ghaziabad, Delhi NCR",1072.0,2.0
17,3200000.0,"Bhopura, Ghaziabad, Delhi NCR",1040.0,2.0
18,2890000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0
19,3100000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0
20,3040000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0
21,3000000.0,"Bhopura, Ghaziabad, Delhi NCR",950.0,2.0
23,3000000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0
25,2900000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0
26,3000000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0
27,2900000.0,"Bhopura, Ghaziabad, Delhi NCR",940.0,2.0
28,3830000.0,"Bhopura, Ghaziabad, Delhi NCR",1200.0,2.0
29,3300000.0,"Bhopura, Ghaziabad, Delhi NCR",1120.0,2.0
30,4400000.0,"Bhopura, Ghaziabad, Delhi NCR",1300.0,3.0
32,3080000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0
33,3500000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0
34,3200000.0,"Bhopura, Ghaziabad, Delhi NCR",950.0,2.0
35,4270000.0,"Bhopura, Ghaziabad, Delhi NCR",1265.0,3.0
36,3200000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0
37,5220000.0,"Chi 5, Greater Noida, Delhi NCR",1494.0,3.0
38,7800000.0,"Chi 5, Greater Noida, Delhi NCR",1735.0,3.0
39,7800000.0,"Chi 5, Greater Noida, Delhi NCR",1735.0,3.0
40,4250000.0,"Chi 5, Greater Noida, Delhi NCR",1114.0,2.0
41,13000000.0,"Chi 5, Greater Noida, Delhi NCR",3210.0,4.0
42,3200000.0,"Chi 5, Greater Noida, Delhi NCR",875.0,2.0
43,7700000.0,"Chi 5, Greater Noida, Delhi NCR",1735.0,3.0
44,3500000.0,"Chi 5, Greater Noida, Delhi NCR",1000.0,2.0
45,3000000.0,"Chi 5, Greater Noida, Delhi NCR",875.0,2.0
46,5500000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1685.0,3.0
47,5400000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1600.0,3.0
48,5000000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1295.0,2.0
49,4500000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1425.0,2.0
50,6000000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1680.0,3.0
51,5500000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1635.0,3.0
52,6000000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1700.0,3.0
53,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1254.0,2.0
54,3900000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1105.0,2.0
55,5800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1730.0,3.0
56,3800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1235.0,2.0
58,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1250.0,2.0
59,4000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1150.0,2.0
60,4670000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1320.0,3.0
61,4600000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1400.0,2.0
62,3300000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1075.0,2.0
63,6500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1810.0,3.0
64,6500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1810.0,3.0
65,4520000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1450.0,2.0
66,6000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1750.0,3.0
